,att.pitch,att.roll,att.yaw,acc.x,acc.y,acc.z,gyro.pitch_w,gyro.roll_w,gyro.yaw_w
2023-11-21 21:01:56.600,1.2999999523,5.9000000954,277.0,-46.0,201.0,1961.0,-0.0609756112,0.0,0.0
2023-11-21 21:01:56.610,1.2999999523,5.9000000954,277.0,-45.0,202.0,1960.0,0.0,0.0,-0.0609756112
2023-11-21 21:01:56.620,1.2999999523,5.9000000954,277.0,-45.0,200.0,1959.0,-0.0609756112,0.0,0.0
2023-11-21 21:01:56.630,1.2999999523,5.9000000954,277.0,-45.0,200.0,1959.0,-0.0609756112,0.0,0.0
2023-11-21 21:01:56.640,1.2999999523,5.9000000954,277.0,-45.0,202.0,1959.0,-0.0609756112,-0.0609756112,0.0
2023-11-21 21:01:56.650,1.2999999523,5.9000000954,277.0,-45.0,201.0,1959.0,0.0,0.0609756112,-0.0609756112
2023-11-21 21:01:56.660,1.2999999523,5.9000000954,277.0,-47.0,201.0,1959.0,0.0,0.0,-0.0609756112
2023-11-21 21:01:56.670,1.2999999523,5.9000000954,277.0,-47.0,201.0,1959.0,0.0,0.0,-0.0609756112
2023-11-21 21:01:56.680,1.2999999523,5.9000000954,277.0,-47.0,201.0,1958.0,0.0,0.0,0.0
2023-11-21 21:01:56.690,1.2999999523,5.9000000954,277.0,-46.0,202.0,1957.0,0.0,0.0,0.0
2023-11-21 21:01:56.700,1.2999999523,5.9000000954,277.0,-45.0,202.0,1957.5,0.0,0.0,0.0
2023-11-21 21:01:56.710,1.2999999523,5.9000000954,277.0,-44.0,202.0,1958.0,0.0,0.0,0.0
2023-11-21 21:01:56.720,1.2999999523,5.9000000954,277.0,-45.0,201.0,1958.0,-0.0609756112,0.0,0.0
2023-11-21 21:01:56.730,1.2999999523,5.9000000954,277.0,-45.0,201.0,1958.0,-0.0609756112,0.0,0.0
2023-11-21 21:01:56.740,1.2999999523,5.9000000954,277.0,-45.0,201.0,1958.0,0.0,-0.0609756112,-0.0609756112
2023-11-21 21:01:56.750,1.2999999523,5.9000000954,277.0,-47.0,203.0,1958.0,-0.0609756112,0.0,0.0
2023-11-21 21:01:56.760,1.2999999523,5.9000000954,277.0,-45.0,200.0,1959.0,0.0,0.0,0.0
2023-11-21 21:01:56.770,1.2999999523,5.9000000954,277.0,-48.0,203.0,1958.0,-0.0609756112,0.0,0.0
2023-11-21 21:01:56.780,1.2999999523,5.9000000954,277.0,-48.0,203.0,1958.0,-0.0609756112,0.0,0.0
2023-11-21 21:01:56.790,1.2999999523,5.9000000954,277.0,-48.0,200.0,1959.0,0.0,0.0609756112,0.0
2023-11-21 21:01:56.800,1.2999999523,5.9000000954,277.0,-46.0,199.0,1958.0,-0.0609756112,0.0,0.0
2023-11-21 21:01:56.810,1.2999999523,5.9000000954,277.0,-46.0,202.0,1960.0,-0.0609756112,0.0,0.0
2023-11-21 21:01:56.820,1.2999999523,5.9000000954,277.0,-46.0,200.0,1960.0,-0.0609756112,0.0,0.0609756112
2023-11-21 21:01:56.830,1.2999999523,5.9000000954,277.0,-45.5,201.5,1959.5,-0.0609756112,0.0,0.0
2023-11-21 21:01:56.840,1.2999999523,5.9000000954,277.0,-45.0,203.0,1959.0,-0.0609756112,0.0,-0.0609756112
2023-11-21 21:01:56.850,1.2999999523,5.9000000954,277.0,-47.0,204.0,1960.0,0.0,-0.0609756112,0.0
2023-11-21 21:01:56.860,1.2999999523,5.9000000954,277.0,-45.0,201.0,1959.0,-0.0609756112,0.0,0.0
2023-11-21 21:01:56.870,1.2999999523,5.9000000954,277.0,-46.0,201.0,1960.0,0.0,0.0,0.0
2023-11-21 21:01:56.880,1.2999999523,5.9000000954,277.0,-45.5,201.5,1960.0,0.0,0.0,0.0304878056
2023-11-21 21:01:56.890,1.2999999523,5.9000000954,277.0,-45.0,202.0,1960.0,0.0,0.0,0.0609756112
2023-11-21 21:01:56.900,1.2999999523,5.9000000954,277.0,-45.0,202.0,1959.0,0.0609756112,-0.0609756112,-0.0609756112
